Country Name,Year,PM25,PrimarySchoolGross,LifeExpectancy,GDPperCap,ForestArea,EnergyUse,ExportofGnS,RenewableElectricty,WomenParliament,PopulationDensity,LivestockProduction
Belarus,2000,27.8003375928239,117.421142578125,63.4,1276.2880341,40.78423252879,2471.64424935802,69.2108213448948,0.107275583310984,,49.1974779144976,62.19
Belize,2000,27.2006760965356,117.034683227539,66.576,4726.50675459616,63.9763261727313,,42.870421436555,45.4597959314638,6.89655172413793,10.5567295046032,51.8
Bermuda,2000,9.29672881638995,,74.395,56542.9569455727,18.5185185185185,,,,,1139.81481481481,
Bolivia,2000,63.0740137541425,119.13207244873,60.098,975.777060358751,50.8643865965107,424.497392990293,18.2747449737713,49.7688144329897,11.5384615384615,7.94454537062679,54.01
Brazil,2000,15.5723815602196,,66.347,3766.54786339835,65.9343586013156,1081.36193393467,10.1880480058491,89.4957553523831,5.65302144249513,20.8202162203552,61.22
Barbados,2000,23.2213661568837,102.616241455078,71.966,11674.6736471764,14.6511627906977,,,0.0,10.7142857142857,609.448837209302,78.95
Brunei Darussalam,2000,7.15237071655279,112.037879943848,72.066,20130.2572346624,75.3320683111954,7306.50805505588,56.970296136284,0.0,,61.9400379506641,50.11
Bhutan,2000,32.573840359233,77.8631820678711,60.513,771.924911410619,65.4773869346734,,28.0014111590781,99.9867895576534,9.33333333333333,14.9965577889447,24.95
Botswana,2000,19.7205372229834,107.469581604004,50.504,3450.81180622992,31.0918779665802,1070.36119676312,51.8318100701299,0.0,17.0212765957447,2.95975508619625,100.8
Central African Republic,2000,34.1089018072999,,45.659,239.154133726071,36.7636200199043,,20.3722135905975,99.7089977883832,7.3394495412844,6.15335323766413,67.92
Canada,2000,9.79565640755295,99.4177627563477,76.64,24271.0020563821,38.7929818338782,8224.74786425172,44.209235821106,60.6190538229517,,3.42261133957721,95.71
Central Europe and the Baltics,2000,22.6877032041261,101.966423034668,68.8613741867513,3959.62494896645,32.4694719942369,2381.7789875388,38.5089814075911,10.3062393987386,12.9600829445308,98.1455805547486,100.0
Switzerland,2000,16.3078475386111,104.152786254883,76.9,38865.021939688,30.2649701705926,3466.50613217002,51.4377228768854,57.8880331753554,23.0,181.771231711013,90.23
Channel Islands,2000,,,76.4,43479.1940767689,4.19191919191919,,,,,748.030303030303,
Chile,2000,28.0634138695562,101.363563537598,74.021,5052.99245766325,21.2728705691214,1623.48012689232,30.1237538780926,49.4510704126952,10.8333333333333,20.8513352485165,74.88
China,2000,50.299193183916,,69.85,969.199513696287,18.8534727562839,898.07500446721,20.681599363293,16.6391375029689,21.7828418230563,134.492481002789,68.08
Cote d'Ivoire,2000,52.7912923813154,64.5294876098633,50.313,936.636541348798,16.0202830188679,383.698511747895,27.7900585635603,36.75,,55.6572452830189,66.75
Cameroon,2000,45.7765448305697,88.4889526367188,52.13,708.565731625965,45.6886674705422,425.839473286279,24.8568127317047,98.9080459770115,5.55555555555556,31.5471028749127,65.02
"Congo, Dem. Rep.",2000,25.8660806412287,,49.966,377.925421481395,63.4741183476324,275.387991752247,11.4496120313427,,,22.2789272402461,95.45
"Congo, Rep.",2000,26.8744350810291,83.168701171875,54.744,1024.30159109181,64.9926793557833,225.662303752435,80.297147219193,28.6086956521739,12.0,9.22795021961933,42.8
Colombia,2000,25.3637180153758,124.298286437988,66.76,2555.00751039968,56.5439387111311,667.583045920418,15.915139715438,74.1381604878162,11.8012422360248,35.2320270392068,70.61
Comoros,2000,12.1137641535542,93.0099029541016,57.429,633.309032776244,22.3965609887157,,8.83631406942087,0.0,,288.060182697474,91.28
Cabo Verde,2000,48.4324410047037,116.196441650391,63.728,1189.51479345891,9.8560794044665,,27.0072185431265,3.11004784688995,11.1111111111111,112.485607940447,107.76
Costa Rica,2000,21.3843731146703,105.324829101562,74.755,3812.75388284924,55.9580885233059,729.765643709357,42.9303221707385,98.5928602399191,19.2982456140351,77.119839404622,73.63
Caribbean small states,2000,25.1932823539276,98.6091384887695,65.5689739983634,6477.26482123395,90.9667714113961,,,12.7591624547695,,9.92711395830266,100.0
Cuba,2000,21.3974205669767,103.836959838867,73.852,2751.3817714814,22.6722532588454,1146.62965504967,14.1300293796253,6.87333688131985,27.6206322795341,103.436769087523,81.95
Curacao,2000,,,70.154,15841.2612359949,,15737.4929646986,,0.718108831400535,,,
Cayman Islands,2000,,108.018867492676,71.685,,53.875,,,0.0,,165.308333333333,
Cyprus,2000,20.3070328790346,96.7313537597656,75.441,14388.3525390625,18.5725108225108,2264.91863707719,69.9628239174311,0.0,7.14285714285714,102.561363636364,117.0
Czechia,2000,20.464169154237,103.40754699707,71.7,6062.92152842793,34.1308399119969,4021.61848184496,47.8222277784723,3.86429096452781,15.0,132.717264138734,127.14
Germany,2000,18.149579025919,105.392036437988,75.0,23925.8559901991,32.5376128385155,4094.27901518469,29.6806532498145,6.88673698232395,30.9417040358744,235.596813297034,88.63
Djibouti,2000,42.9159218505288,,55.22,737.612183644052,0.241587575496117,,,0.0,0.0,32.2397756686799,127.82
Dominica,2000,20.0245327007011,117.881462097168,69.08,4867.39896323759,63.8266666666667,,,40.8423493044822,,91.348,92.67
Denmark,2000,15.647778890228,99.6710510253906,74.3,30722.0251837567,14.29,3491.17168608231,44.8786835833686,15.4550245471944,37.4301675977654,133.4904,99.92
Dominican Republic,2000,19.0738112994015,115.308647155762,67.145,2831.45883638033,40.8294348996067,856.256386147598,35.4978251417642,7.92511819429617,16.1073825503356,177.689712274891,66.98
Algeria,2000,28.2331081205494,109.734397888184,69.289,1772.92869122761,0.662960692602887,873.657787057718,42.0697177213416,0.212498032425626,3.42105263157895,12.9753428165963,59.4
East Asia & Pacific (excluding high income),2000,44.1662564434611,110.940551757812,68.2132200759693,961.301422369963,28.8787217125815,822.284813918603,32.9925919770315,18.048750057075,17.3228346456693,113.8692161427,100.0
Early-demographic dividend,2000,47.8429611200725,96.5262908935547,62.6696296525264,1346.2395395696,24.3154587381178,672.584750799077,24.6288748171306,21.3448814376585,9.67302452316077,75.6044104013335,100.0
East Asia & Pacific,2000,41.1191835082209,110.224029541016,69.082188549481,4103.33628080966,26.0484255580453,1196.06644605495,23.5579612249392,13.5179182428087,16.357597564351,83.8610283923368,99.4164279684983
Europe & Central Asia (excluding high income),2000,25.4495225405796,103.896949768066,64.9083255295763,1790.77072090719,9.99387200003858,1739.58201179831,27.6000350840376,20.5642843753605,6.84068406840684,37.626910005721,100.0
Europe & Central Asia,2000,20.9673105841397,104.001197814941,69.2752180729748,11652.9290294061,37.8662429161615,3177.56891913811,34.409418921019,19.6068257354849,16.562282533055,31.6482193568461,97.8780460277433
Ecuador,2000,43.2126751514231,107.411689758301,69.083,1382.23421759909,55.2846674182638,638.756054226183,37.5510597560791,71.7228609121749,14.6341463414634,51.0919874375906,62.66
"Egypt, Arab Rep.",2000,59.9928979498542,89.0984268188477,65.1,1366.09274372613,0.0594806368978854,569.881356092312,16.2011173184358,18.0499085010814,1.98237885462555,73.4173328645336,66.01
Euro area,2000,19.0134499170823,103.694633483887,75.0120136310189,20039.4002655128,36.4511724014054,3668.05008203938,35.0156011467994,15.1134612469299,19.3723188078573,119.105131450003,100.0
Eritrea,2000,43.5875022656422,95.3378219604492,54.053,314.357396753501,11.0738613861386,315.395535029609,9.67062059350866,0.0,14.6666666666667,22.2478316831683,75.78
